Crop,Temperature (C),Rainfall (mm),Humidity (%),Sunlight (hours),Soil pH,Soil Nitrogen (%),Soil Phosphorus (ppm),Soil Potassium (ppm),Altitude (m),Wind Speed (m/s),Crop Yield (tons/ha)
Sugarcane,34.91357467,775.1521848,74.57837002,8.774801264,6.837498259,0.699949832,11.88873338,20.01125833,471.4571129,9.763327094,16.43154849
Potato,35.81106602,818.508666,32.7277477,5.467236079,6.412726729,1.549512863,11.47917528,18.73687421,1854.966039,2.09240791,15.7165627
Maize,24.56154978,1974.846329,52.67340253,10.87952325,7.540922616,1.400998504,5.198974417,38.26605267,1711.700243,5.781247538,17.60487399
Rice,32.10582566,1160.228741,28.54267644,7.961415281,5.603165563,2.318640804,8.881699724,29.87566853,969.5476745,7.801020318,18.00109877
Barley,15.78283231,1763.427162,51.48278934,7.161201888,8.279976597,1.954543992,9.898111532,27.11331923,1586.461067,14.41758037,22.47740312
Rice,28.49230331,1380.126748,87.56787151,8.856273981,6.327997546,1.092547011,7.479004086,10.4690922,1299.034368,5.923222773,20.74281719
Maize,32.6714336,1593.510752,73.98892427,4.592357214,6.575397186,0.731738119,17.94655139,28.6989438,1026.149173,0.953375254,21.56493876
Potato,31.64805892,1386.946682,39.23052551,8.489947407,6.648780624,2.443424191,17.73370736,31.65188563,746.1555133,3.841024841,15.09381682
Peanut,15.63547817,661.8371405,22.200043,9.09128329,6.443067943,1.517141382,18.61349711,17.47876687,1260.629623,11.33326708,9.769692189
Sugarcane,22.24378632,741.8319309,85.07883566,10.46496304,7.40021127,2.24292118,17.05508115,15.59710177,2683.049046,8.090133629,24.99410801
Tomato,22.95008687,665.0778868,35.95546138,7.416862309,7.954044298,2.221461167,5.104281958,25.32241908,1281.362459,3.331617157,11.20115519
Potato,38.5727426,984.804398,56.31534352,9.624151671,6.590888807,2.443564165,19.43670942,17.55346887,1516.883092,4.513174647,19.74018286
Wheat,21.66952536,1964.922434,48.77259093,4.264405863,6.535213744,1.768702689,15.21058177,25.9280375,1370.960335,8.293396336,20.84240739
Sugarcane,34.04049038,856.456316,70.9751444,6.942265062,7.396917492,1.767059422,13.03662026,12.7086931,2514.142362,4.811700975,19.01095908
Maize,29.77232358,1516.346543,21.16114802,8.096744466,6.179487326,1.790345581,7.615496435,30.72813214,1190.869272,14.05094983,14.02485697
Tomato,17.83683803,1887.040427,81.41375474,6.063533022,7.479952138,2.1344444,13.32801217,25.88951735,763.4642582,1.396541517,25.83061006
Cotton,37.06590858,783.0606625,39.52099468,9.60286264,8.039983427,2.212648584,11.06762191,36.63310296,2560.238924,14.03452491,23.86820502
Potato,30.16072649,513.7955774,27.103008,9.308014153,5.515184752,0.821616103,13.23100684,30.75685593,1973.285716,3.364039642,18.5671053
Wheat,27.34734288,768.2340638,45.65281492,9.953364184,7.662819773,1.116121584,13.13810346,25.26442231,1927.181224,3.756927279,19.40056093
Barley,24.82744312,1838.069833,64.17970382,10.35849043,7.007911279,1.653807769,12.38776541,15.85728963,2181.23374,4.211585437,18.07156974
Wheat,16.09009429,1991.825766,52.89611598,6.236482734,8.150482067,1.995437548,19.29607771,19.92250914,1680.656652,8.584387038,24.77830208
Soybean,22.3612223,1077.646593,79.57956701,6.535376041,6.00847824,1.613602525,19.04232161,30.8808939,1731.680452,1.457647407,22.70288879
Barley,23.96616953,881.2454736,40.67034119,6.580406114,8.046009385,0.773242663,15.63366495,26.58459931,924.7049238,6.296712847,13.93201601
Potato,37.83101381,1267.013598,55.10614063,10.38636143,7.449891792,1.903933755,16.93689004,36.70016025,1047.085713,5.63374429,18.94475533
Sugarcane,31.80065338,992.2290012,30.85291317,11.85472711,8.016800506,2.220809237,8.753770408,11.16504203,944.6332683,8.056236408,15.32012488
Potato,34.24983883,823.7315412,63.60233331,4.68277972,5.655045164,1.562709263,13.10952682,29.12289704,2191.969434,14.63778119,21.49404677
Maize,34.87965487,906.2483769,50.72799945,4.627651051,5.57605223,2.425296829,17.53970181,30.87922618,1256.411186,2.599414801,16.38222178
Rice,20.99468398,640.8099351,32.8006198,11.47691198,7.414811782,1.533392515,14.85666993,23.07018696,2203.615984,0.715741915,16.70144711
Maize,33.94615276,521.5902329,28.12508484,4.368021136,5.622186407,2.210921168,15.55486789,24.22521487,338.6107739,7.374238127,14.55681022
